event,event_n,group,group_base_n,group_base_rate,event_share_in_group,event_rate_within_group
LOSS_LT_3,13,ALIGNED,44,44.0,53.84615384615385,15.909090909090908
LOSS_LT_3,13,COUNTER,56,56.00000000000001,46.15384615384615,10.714285714285714
LOSS_LT_3,13,COUNTER_HIGH,20,20.0,15.384615384615385,10.0
LOSS_LT_3,13,COUNTER_RISING,19,19.0,23.076923076923077,15.789473684210526
LOSS_LT_3,13,ADX_LOW,33,33.0,38.46153846153847,15.151515151515152
LOSS_LT_3,13,ADX_MID,33,33.0,38.46153846153847,15.151515151515152
LOSS_LT_3,13,ADX_HIGH,34,34.0,23.076923076923077,8.823529411764707
LOSS_LT_3,13,ADX_RISING,31,31.0,38.46153846153847,16.129032258064516
LOSS_LT_3,13,ADX_FALLING,69,69.0,61.53846153846154,11.594202898550725
LOSS_LT_5,8,ALIGNED,44,44.0,50.0,9.090909090909092
LOSS_LT_5,8,COUNTER,56,56.00000000000001,50.0,7.142857142857142
LOSS_LT_5,8,COUNTER_HIGH,20,20.0,25.0,10.0
LOSS_LT_5,8,COUNTER_RISING,19,19.0,12.5,5.263157894736842
LOSS_LT_5,8,ADX_LOW,33,33.0,25.0,6.0606060606060606
LOSS_LT_5,8,ADX_MID,33,33.0,37.5,9.090909090909092
LOSS_LT_5,8,ADX_HIGH,34,34.0,37.5,8.823529411764707
LOSS_LT_5,8,ADX_RISING,31,31.0,25.0,6.451612903225806
LOSS_LT_5,8,ADX_FALLING,69,69.0,75.0,8.695652173913043
WIN_GT_3,14,ALIGNED,44,44.0,42.857142857142854,13.636363636363635
WIN_GT_3,14,COUNTER,56,56.00000000000001,57.14285714285714,14.285714285714285
WIN_GT_3,14,COUNTER_HIGH,20,20.0,21.428571428571427,15.0
WIN_GT_3,14,COUNTER_RISING,19,19.0,14.285714285714285,10.526315789473683
WIN_GT_3,14,ADX_LOW,33,33.0,28.57142857142857,12.121212121212121
WIN_GT_3,14,ADX_MID,33,33.0,28.57142857142857,12.121212121212121
WIN_GT_3,14,ADX_HIGH,34,34.0,42.857142857142854,17.647058823529413
WIN_GT_3,14,ADX_RISING,31,31.0,35.714285714285715,16.129032258064516
WIN_GT_3,14,ADX_FALLING,69,69.0,64.28571428571429,13.043478260869565
WIN_GT_5,6,ALIGNED,44,44.0,50.0,6.8181818181818175
WIN_GT_5,6,COUNTER,56,56.00000000000001,50.0,5.357142857142857
WIN_GT_5,6,COUNTER_HIGH,20,20.0,0.0,0.0
WIN_GT_5,6,COUNTER_RISING,19,19.0,0.0,0.0
WIN_GT_5,6,ADX_LOW,33,33.0,33.33333333333333,6.0606060606060606
WIN_GT_5,6,ADX_MID,33,33.0,33.33333333333333,6.0606060606060606
WIN_GT_5,6,ADX_HIGH,34,34.0,33.33333333333333,5.88235294117647
WIN_GT_5,6,ADX_RISING,31,31.0,16.666666666666664,3.225806451612903
WIN_GT_5,6,ADX_FALLING,69,69.0,83.33333333333334,7.246376811594203
