side,variant,comparison,group_a_n,group_b_n,expectancy_a_minus_b,mae_a_minus_b,loss3_rate_a_minus_b,profit_factor_a,profit_factor_b
ALL,ALL_TRADES,COUNTER_MINUS_ALIGNED,56,44,-0.08443537307684693,-0.2208109235256308,-5.194805194805195,0.8046629938089254,0.8628346663939205
ALL,ALL_TRADES,COUNTER_HIGH_MINUS_OTHERS,20,80,-0.3611286003362235,-0.9198977018394117,-3.7500000000000018,0.6353967231558583,0.8791469201515915
ALL,ALL_TRADES,COUNTER_RISING_MINUS_OTHERS,19,81,-0.30421365850439896,-1.2931357482391284,3.443794671864847,0.6429468572315645,0.8711878849927402
ALL,REMOVE_WORST_1,COUNTER_MINUS_ALIGNED,55,44,0.3469843557950853,0.19680177183062453,-6.818181818181817,1.1344960428740047,0.8628346663939205
ALL,REMOVE_WORST_1,COUNTER_HIGH_MINUS_OTHERS,20,79,-0.6628686303637846,-1.2141994055269207,-2.6582278481012658,0.6353967231558583,1.1029983410168749
ALL,REMOVE_WORST_1,COUNTER_RISING_MINUS_OTHERS,19,80,-0.6020016240947229,-1.584530133778013,4.539473684210526,0.6429468572315645,1.085850821163532
ALL,REMOVE_WORST_2,COUNTER_MINUS_ALIGNED,55,43,-0.011272852949058748,-0.2319670689626263,-4.8625792811839315,1.1344960428740047,1.1336138465968897
ALL,REMOVE_WORST_2,COUNTER_HIGH_MINUS_OTHERS,20,78,-0.8645576293018612,-1.455118473231931,-1.5384615384615383,0.6353967231558583,1.321725971699107
ALL,REMOVE_WORST_2,COUNTER_RISING_MINUS_OTHERS,19,79,-0.8009049750792966,-1.8231440099126939,5.662891405729512,0.6429468572315645,1.2929002778061052
ALL,REMOVE_BEST_AND_WORST,COUNTER_MINUS_ALIGNED,55,43,0.6568490339815763,0.2691040701546017,-7.188160676532769,1.1344960428740047,0.6620498172733245
ALL,REMOVE_BEST_AND_WORST,COUNTER_HIGH_MINUS_OTHERS,20,78,-0.4962340249683058,-1.1788869478211517,-2.8205128205128194,0.6353967231558583,0.9638932463273673
ALL,REMOVE_BEST_AND_WORST,COUNTER_RISING_MINUS_OTHERS,19,79,-0.4372436948512294,-1.5504090860893927,4.397068620919386,0.6429468572315645,0.9512369300983491
LONG,ALL_TRADES,COUNTER_MINUS_ALIGNED,30,20,1.3801411418972083,0.7573697614679062,-13.333333333333332,1.0664137066583492,0.3700442212778705
LONG,ALL_TRADES,COUNTER_HIGH_MINUS_OTHERS,15,35,0.38859582115413244,-0.6534044429594319,-7.619047619047618,0.8245517194099864,0.6140699390390945
LONG,ALL_TRADES,COUNTER_RISING_MINUS_OTHERS,10,40,-0.8351568221363255,-2.2211665283377418,10.0,0.4316328394071221,0.7576753346687922
LONG,REMOVE_WORST_1,COUNTER_MINUS_ALIGNED,30,19,0.6276671610516434,-0.18292455250823236,-9.12280701754386,1.0664137066583492,0.5918761641027991
LONG,REMOVE_WORST_1,COUNTER_HIGH_MINUS_OTHERS,15,34,-0.05283098987109783,-1.1979937122334081,-5.098039215686273,0.8245517194099864,0.8609209978809078
LONG,REMOVE_WORST_1,COUNTER_RISING_MINUS_OTHERS,10,39,-1.2272625063832827,-2.7023010700837657,12.307692307692307,0.4316328394071221,1.0802759769301757
LONG,REMOVE_WORST_2,COUNTER_MINUS_ALIGNED,29,19,0.9930362522575356,0.5273420169380705,-12.34119782214156,1.6178158873551762,0.5918761641027991
LONG,REMOVE_WORST_2,COUNTER_HIGH_MINUS_OTHERS,14,34,0.6840021717731791,0.21896339485830651,-11.76470588235294,1.9714169020182988,0.8609209978809078
LONG,REMOVE_WORST_2,COUNTER_RISING_MINUS_OTHERS,9,39,-0.18553786966073527,-0.6447622493409417,3.418803418803418,0.898261040245104,1.0802759769301757
LONG,REMOVE_BEST_AND_WORST,COUNTER_MINUS_ALIGNED,29,19,0.4010871219876832,-0.26329905247647556,-8.892921960072595,0.8514639291321903,0.5918761641027991
LONG,REMOVE_BEST_AND_WORST,COUNTER_HIGH_MINUS_OTHERS,15,33,0.1531699048238943,-1.1406240818847895,-5.454545454545454,0.8245517194099864,0.6899335673288092
LONG,REMOVE_BEST_AND_WORST,COUNTER_RISING_MINUS_OTHERS,10,38,-1.0545324921480324,-2.6573421080771173,12.105263157894736,0.4316328394071221,0.8991715328229399
SHORT,ALL_TRADES,COUNTER_MINUS_ALIGNED,26,24,-1.419185730119839,-1.1663180637222892,2.884615384615385,0.6483428555884165,1.7287878622124189
SHORT,ALL_TRADES,COUNTER_HIGH_MINUS_OTHERS,5,45,-1.6736567263970918,-1.760820985172435,6.666666666666666,0.3382504469549712,1.1049718202950878
SHORT,ALL_TRADES,COUNTER_RISING_MINUS_OTHERS,9,41,0.30245152013265764,-0.2897879030068,-3.5230352303523027,1.333252156638974,0.9569073141590189
SHORT,REMOVE_WORST_1,COUNTER_MINUS_ALIGNED,25,24,-0.48651719621889217,-0.2663414799276209,-0.5,1.2104039672414149,1.7287878622124189
SHORT,REMOVE_WORST_1,COUNTER_HIGH_MINUS_OTHERS,5,44,-2.2228678211839306,-2.288896652535404,8.636363636363637,0.3382504469549712,1.7703457224655144
SHORT,REMOVE_WORST_1,COUNTER_RISING_MINUS_OTHERS,9,40,-0.2961355104762754,-0.867573130206666,-1.3888888888888893,1.333252156638974,1.4653525716554892
SHORT,REMOVE_WORST_2,COUNTER_MINUS_ALIGNED,24,24,-0.12401230022339393,0.09308553441146161,-4.166666666666668,1.7431787770361227,1.7287878622124189
SHORT,REMOVE_WORST_2,COUNTER_HIGH_MINUS_OTHERS,4,44,-0.4872760545111433,-0.6135552664666961,-11.363636363636363,1.2764879659415764,1.7703457224655144
SHORT,REMOVE_WORST_2,COUNTER_RISING_MINUS_OTHERS,9,39,-0.5267202252822648,-1.096189834839258,0.8547008547008552,1.333252156638974,1.8031239566418655
