period,side,comparison,group_a_n,group_b_n,expectancy_a_minus_b,mae_a_minus_b,loss3_rate_a_minus_b,profit_factor_a,profit_factor_b
FIRST_HALF,ALL,COUNTER_MINUS_ALIGNED,24,26,1.248145367246321,1.0730608592454,-18.58974358974359,1.1059361949942426,0.522682500487958
FIRST_HALF,ALL,COUNTER_HIGH_MINUS_OTHERS,10,40,-1.2080510481217934,-1.189977109204567,2.5,0.37763794788429655,0.8383805614297053
FIRST_HALF,ALL,COUNTER_RISING_MINUS_OTHERS,6,44,-0.5057946942198324,-3.1391854162687767,-1.5151515151515191,0.5661163715286097,0.7441044548162467
FIRST_HALF,LONG,COUNTER_MINUS_ALIGNED,15,10,3.568602242516557,3.098042838115325,-33.333333333333336,1.1569113484965612,0.1637563944512861
FIRST_HALF,LONG,COUNTER_HIGH_MINUS_OTHERS,8,17,0.6851149325485483,0.45001910311155413,-11.02941176470588,0.5939851384392513,0.435862608197085
FIRST_HALF,LONG,COUNTER_RISING_MINUS_OTHERS,4,21,-0.6297476768433878,-4.1783996192326,5.9523809523809526,0.46046369965679196,0.4810257694767437
FIRST_HALF,SHORT,COUNTER_MINUS_ALIGNED,9,16,-0.26361271426365185,-0.26578496486655334,-7.638888888888889,1.0273900664682152,1.2368678597369183
FIRST_HALF,SHORT,COUNTER_HIGH_MINUS_OTHERS,2,23,-4.932110641484693,-4.512165590698581,36.95652173913044,0.0,1.5833729295278542
FIRST_HALF,SHORT,COUNTER_RISING_MINUS_OTHERS,2,23,0.4805106275083013,-0.7139298413323947,-17.391304347826086,7.558137590564897,1.1195150098512219
SECOND_HALF,ALL,COUNTER_MINUS_ALIGNED,32,18,-1.7154347038283992,-2.2128892902357156,12.5,0.627572370309743,5.241054131279031
SECOND_HALF,ALL,COUNTER_HIGH_MINUS_OTHERS,10,40,0.4857938474493477,-0.6498182944742563,-10.0,1.687633356695124,0.9331409168083719
SECOND_HALF,ALL,COUNTER_RISING_MINUS_OTHERS,13,37,-0.4004844053664872,-0.9515463741065164,9.97920997920998,0.7201192212585824,1.0987582640476607
SECOND_HALF,LONG,COUNTER_MINUS_ALIGNED,15,10,-0.8083199587221401,-1.583303315179513,6.666666666666667,0.93042889344352,6.813808413505877
SECOND_HALF,LONG,COUNTER_HIGH_MINUS_OTHERS,7,18,0.21884820787028325,-1.5592920850869616,-5.555555555555555,1.9977789010161173,1.345778509776891
SECOND_HALF,LONG,COUNTER_RISING_MINUS_OTHERS,6,19,-1.330006697394893,-1.453935621141582,16.666666666666664,0.3793036363472347,2.728150258732487
SECOND_HALF,SHORT,COUNTER_MINUS_ALIGNED,17,8,-2.6477661899545097,-2.7103654818464338,17.647058823529413,0.53338175379059,4.64677597233883
SECOND_HALF,SHORT,COUNTER_HIGH_MINUS_OTHERS,3,22,0.6694226845049144,0.062019973733601574,-13.636363636363635,1.3647619420388892,0.8238330801099553
SECOND_HALF,SHORT,COUNTER_RISING_MINUS_OTHERS,7,18,0.4893235201793655,-0.3769427442266253,3.174603174603174,1.12862150970896,0.8161180268541497
