side,grouping,group,trades,expectancy,profit_factor,mean_mae,large_loss_rate,large_loss_count,worst_trade,median_pnl
ALL,atr_direction_1,CONTRACTING,55,-0.021129791541572143,0.9816644014628422,-3.150315708424337,10.909090909090908,6,-15.608768974289973,0.2909439836802416
ALL,atr_direction_1,EXPANDING,45,-0.5319364930376493,0.716957274422001,-3.699259609403202,15.555555555555555,7,-24.016229459324894,-0.7518874850984381
LONG,atr_direction_1,CONTRACTING,28,-0.1654374385429702,0.8813382914858333,-3.3650909710682835,10.714285714285714,3,-15.608768974289973,0.363838248532533
LONG,atr_direction_1,EXPANDING,22,-0.8887129261405629,0.4162976340827555,-3.423367578578743,13.636363636363635,3,-8.914046280905474,-0.6640651803999473
SHORT,atr_direction_1,CONTRACTING,27,0.12852258312654438,1.1425441071615114,-2.9275858064232088,11.11111111111111,3,-8.466965081792235,0.2334006984387175
SHORT,atr_direction_1,EXPANDING,23,-0.19067207876529704,0.9141365483566856,-3.9631563345396406,17.391304347826086,4,-24.016229459324894,-0.7854388649876494
ALL,atr_rank_band_1,LOWER_THIRD,33,0.1646639702187331,1.1875365312420527,-2.9183698115278056,9.090909090909092,3,-10.527325841297898,0.3347489630036762
ALL,atr_rank_band_1,MIDDLE_THIRD,33,-1.355336221283716,0.41455639864761945,-4.129240547296139,18.181818181818183,6,-24.016229459324894,-0.309722183860434
ALL,atr_rank_band_1,UPPER_THIRD,34,0.4174383401077571,1.3333219029764027,-3.151850133685073,11.76470588235294,4,-8.914046280905474,-0.3459971765726262
LONG,atr_rank_band_1,LOWER_THIRD,16,-0.4994436660689848,0.6246036288308826,-3.4627955747294594,12.5,2,-10.527325841297898,0.28216853417146637
LONG,atr_rank_band_1,MIDDLE_THIRD,17,-0.10141203480804384,0.9244956751946355,-3.031361417108517,5.88235294117647,1,-15.608768974289973,-0.2414904570802174
LONG,atr_rank_band_1,UPPER_THIRD,17,-0.8511076120855913,0.49076956533987603,-3.6822800371840096,17.647058823529413,3,-8.914046280905474,-0.4026428835023036
SHORT,atr_rank_band_1,LOWER_THIRD,17,0.7897064514307028,2.7462025153590397,-2.405969093220367,5.88235294117647,1,-4.472288400462221,0.5868935942158118
SHORT,atr_rank_band_1,MIDDLE_THIRD,16,-2.687630669414118,0.19717912400396068,-5.295737123120488,31.25,5,-24.016229459324894,-1.384004414499529
SHORT,atr_rank_band_1,UPPER_THIRD,17,1.685984292301106,3.023127401476873,-2.621420230186136,5.88235294117647,1,-4.801647142922759,-0.1891594038178317
ALL,atr_direction_2,CONTRACTING,55,-0.22298651360551228,0.8144846601250082,-3.352168179909448,7.2727272727272725,4,-24.016229459324894,0.2176226764506649
ALL,atr_direction_2,EXPANDING,45,-0.2852227216261671,0.8431754257194827,-3.4525510331436235,20.0,9,-15.608768974289973,-0.4026428835023036
LONG,atr_direction_2,CONTRACTING,28,-0.20606677797438228,0.8024800902886926,-2.902707547678182,10.714285714285714,3,-10.527325841297898,0.22360539089496076
LONG,atr_direction_2,EXPANDING,22,-0.8370028577733115,0.5749472342769127,-4.011855571984328,13.636363636363635,3,-15.608768974289973,-0.48944287960188015
SHORT,atr_direction_2,CONTRACTING,27,-0.24053290611186928,0.8239886122616914,-3.818275502223353,3.7037037037037033,1,-24.016229459324894,0.1085620308889712
SHORT,atr_direction_2,EXPANDING,23,0.24256697381892756,1.1448298038536577,-2.9175640829481666,26.08695652173913,6,-8.466965081792235,-0.1891594038178317
ALL,atr_rank_band_2,LOWER_THIRD,33,-0.09144143450590847,0.8991778769948985,-3.1918091401025133,6.0606060606060606,2,-10.527325841297898,0.1085620308889712
ALL,atr_rank_band_2,MIDDLE_THIRD,33,-0.5178804543774067,0.6861960650835829,-3.548412119244737,15.151515151515152,5,-24.016229459324894,0.2334006984387175
ALL,atr_rank_band_2,UPPER_THIRD,34,-0.14681348200974376,0.9214675979375105,-3.450198377294806,17.647058823529413,6,-15.608768974289973,-0.680840870344553
LONG,atr_rank_band_2,LOWER_THIRD,17,-0.5897245642502122,0.5553404457418063,-3.405680057601667,11.76470588235294,2,-10.527325841297898,0.2176226764506649
LONG,atr_rank_band_2,MIDDLE_THIRD,16,0.48119336977589167,1.902873762334744,-2.0077126438878055,6.25,1,-4.060230794942054,0.6413974597885428
LONG,atr_rank_band_2,UPPER_THIRD,17,-1.2857475869680126,0.47280059532676333,-4.677451213953593,17.647058823529413,3,-15.608768974289973,-0.95259565072432
SHORT,atr_rank_band_2,LOWER_THIRD,16,0.43798439084741414,1.9491014657348003,-2.964571290259663,0.0,0,-2.7246169115996155,0.09782726966011321
SHORT,atr_rank_band_2,MIDDLE_THIRD,17,-1.4581852300510998,0.46032659562404626,-4.99848221369832,23.52941176470588,4,-24.016229459324894,0.061453138249034
SHORT,atr_rank_band_2,UPPER_THIRD,17,0.9921206229485252,1.7631100499848371,-2.222945540636019,17.647058823529413,3,-6.972493509302239,-0.1891594038178317
ALL,atr_direction_3,CONTRACTING,55,-0.3319821839027302,0.732312997047164,-3.4663424210794296,9.090909090909092,5,-24.016229459324894,0.0870925084312552
ALL,atr_direction_3,EXPANDING,45,-0.15200579126290056,0.9142200827357807,-3.3130047383803127,17.77777777777778,8,-15.608768974289973,-0.2893514696429488
LONG,atr_direction_3,CONTRACTING,28,-0.13809431521519036,0.8486874403044747,-2.807564724680058,7.142857142857142,2,-10.527325841297898,0.22360539089496076
LONG,atr_direction_3,EXPANDING,22,-0.923513264921374,0.5675277912771444,-4.132946437618303,18.181818181818183,4,-15.608768974289973,-0.7644192632128883
SHORT,atr_direction_3,CONTRACTING,27,-0.5330510847638829,0.6625969248083059,-4.1495192914195185,11.11111111111111,3,-24.016229459324894,0.061453138249034
SHORT,atr_direction_3,EXPANDING,23,0.5859578791930303,1.4113545716197835,-2.528712678239625,17.391304347826086,4,-8.466965081792235,0.2588393591427914
ALL,atr_rank_band_3,LOWER_THIRD,33,-0.5142861628849056,0.607350561937042,-3.3397748325236782,6.0606060606060606,2,-24.016229459324894,0.1085620308889712
ALL,atr_rank_band_3,MIDDLE_THIRD,33,0.05902831098233031,1.0388998492925678,-3.871567147631671,18.181818181818183,6,-10.527325841297898,0.061453138249034
ALL,atr_rank_band_3,UPPER_THIRD,34,-0.2963462237851681,0.8156437205331812,-2.99293414827518,14.705882352941178,5,-15.608768974289973,-0.43279717267220275
LONG,atr_rank_band_3,LOWER_THIRD,17,-0.06183933783297961,0.9225056547353807,-2.2126378483274785,5.88235294117647,1,-6.419972395723778,0.2176226764506649
LONG,atr_rank_band_3,MIDDLE_THIRD,16,-0.7989377958685524,0.5137194149274485,-4.388356311706286,18.75,3,-10.527325841297898,0.059339237556405536
LONG,atr_rank_band_3,UPPER_THIRD,17,-0.6088034810140037,0.6833064886538728,-3.629887618222154,11.76470588235294,2,-15.608768974289973,-0.5762428757014567
