side,outcome,bars,hours,n,mean,median,positive_pct
ALL,ALL,1,4,100,-0.029796779822576114,-0.01856112497460316,47.0
ALL,ALL,2,8,100,-0.17591459241493632,-0.02362945026985752,49.0
ALL,ALL,3,12,100,-0.15328399631946188,-0.04549143163783409,50.0
ALL,ALL,6,24,98,-0.09004470366560512,-0.15155262039172612,48.97959183673469
ALL,ALL,12,48,87,0.19978974152693357,0.5767728353104351,62.06896551724138
ALL,ALL,18,72,46,-1.35108825112854,-1.0271740301789123,32.608695652173914
ALL,WIN,1,4,51,0.17925536558212787,0.03868464248664161,52.94117647058824
ALL,WIN,2,8,51,0.1869582776796048,0.1935257191962636,64.70588235294117
ALL,WIN,3,12,51,0.5041983117367997,0.5537415271023249,70.58823529411765
ALL,WIN,6,24,50,1.0371155829348384,0.6947452190600611,70.0
ALL,WIN,12,48,47,2.0959581821887054,1.7723708287545992,85.1063829787234
ALL,WIN,18,72,19,2.0872903825669233,1.0098719468651707,73.68421052631578
ALL,LOSS,1,4,49,-0.2473816658560436,-0.12147602088097287,40.816326530612244
ALL,LOSS,2,8,49,-0.5535986000643568,-0.2919594389124591,32.6530612244898
ALL,LOSS,3,12,49,-0.8376023169494484,-0.4496592028966351,28.57142857142857
ALL,LOSS,6,24,48,-1.264170002207734,-0.8578708799557411,27.083333333333332
ALL,LOSS,12,48,40,-2.028208176250649,-1.6591419698894716,35.0
ALL,LOSS,18,72,27,-3.7706880303957178,-2.7863473461146815,3.7037037037037033
LONG,ALL,1,4,50,-0.0673590432812401,-0.018005182608810122,48.0
LONG,ALL,2,8,50,-0.21871368505769476,0.006142967116451459,50.0
LONG,ALL,3,12,50,-0.10908824543380381,-0.051825306286107375,50.0
LONG,ALL,6,24,48,-0.11298910635303276,-0.06482625399187314,50.0
LONG,ALL,12,48,43,0.4350969334897538,0.7026735390619487,67.44186046511628
LONG,ALL,18,72,20,-1.399301728104128,-1.5847639536553881,35.0
LONG,WIN,1,4,25,0.18489613962485366,0.09858745488575682,60.0
LONG,WIN,2,8,25,0.2593387310197262,0.39955688135120404,64.0
LONG,WIN,3,12,25,0.5603401614469656,0.6406940096612024,76.0
LONG,WIN,6,24,24,1.0277105176130854,0.49292789487471733,70.83333333333334
LONG,WIN,12,48,23,2.0080307868868656,1.7526685477866843,91.30434782608695
LONG,WIN,18,72,8,1.5517612620182875,1.2443337275902966,87.5
LONG,LOSS,1,4,25,-0.3196142261873338,-0.31293427051364286,36.0
LONG,LOSS,2,8,25,-0.6967661011351156,-0.2919594389124591,36.0
LONG,LOSS,3,12,25,-0.7785166523145733,-0.3241912232142763,24.0
LONG,LOSS,6,24,24,-1.253688730319151,-0.9931673499761873,29.166666666666668
LONG,LOSS,12,48,20,-1.3737769979169243,-0.863404241786736,40.0
LONG,LOSS,18,72,12,-3.366677054852406,-2.5934425287317486,0.0
SHORT,ALL,1,4,50,0.0077654836360878665,-0.02503911917169921,46.0
SHORT,ALL,2,8,50,-0.13311549977217793,-0.05716328428146955,48.0
SHORT,ALL,3,12,50,-0.19747974720511993,-0.02299764422988848,50.0
SHORT,ALL,6,24,50,-0.06801807708567459,-0.15155262039172612,48.0
SHORT,ALL,12,48,44,-0.030169559709458914,0.3191348732447141,56.81818181818182
SHORT,ALL,18,72,26,-1.314000961147318,-0.8758013576114498,30.76923076923077
SHORT,WIN,1,4,26,0.17383154438719936,-0.05215672745958466,46.15384615384615
SHORT,WIN,2,8,26,0.11736168792948817,0.13711506969499299,65.38461538461539
SHORT,WIN,3,12,26,0.45021576393856333,0.4765406177226872,65.38461538461539
SHORT,WIN,6,24,26,1.0457971816933795,0.9039137804945307,69.23076923076923
SHORT,WIN,12,48,24,2.1802219360196364,1.823958262162012,79.16666666666666
SHORT,WIN,18,72,11,2.4767661066022955,0.4247995323616749,63.63636363636363
SHORT,LOSS,1,4,24,-0.17213941551094955,-0.010331079790959485,45.83333333333333
SHORT,LOSS,2,8,24,-0.4044657864489829,-0.30751913907233197,29.166666666666668
SHORT,LOSS,3,12,24,-0.8991498842774434,-0.6629857748986279,33.33333333333333
SHORT,LOSS,6,24,24,-1.274651274096317,-0.5996382067667283,25.0
SHORT,LOSS,12,48,20,-2.682639354584373,-2.725463951179219,30.0
SHORT,LOSS,18,72,15,-4.093896810830368,-3.4411215367461168,6.666666666666667
