group,feature,value,count,group_candidates,share
APPROVE,month,2026-06,4,8,0.5
APPROVE,month,2025-11,2,8,0.25
APPROVE,month,2026-01,1,8,0.125
APPROVE,month,2026-03,1,8,0.125
APPROVE,quarter,2026-Q2,4,8,0.5
APPROVE,quarter,2025-Q4,2,8,0.25
APPROVE,quarter,2026-Q1,2,8,0.25
APPROVE,hour_utc,16,2,8,0.25
APPROVE,hour_utc,11,1,8,0.125
APPROVE,hour_utc,3,1,8,0.125
APPROVE,hour_utc,19,1,8,0.125
APPROVE,hour_utc,22,1,8,0.125
APPROVE,hour_utc,10,1,8,0.125
APPROVE,hour_utc,14,1,8,0.125
APPROVE,weekday_utc,Wednesday,4,8,0.5
APPROVE,weekday_utc,Saturday,2,8,0.25
APPROVE,weekday_utc,Sunday,1,8,0.125
APPROVE,weekday_utc,Monday,1,8,0.125
APPROVE,d1_ema_direction,BEARISH,8,8,1.0
APPROVE,d1_dmi_direction,BEARISH,8,8,1.0
APPROVE,d1_dmi_aligned,True,8,8,1.0
APPROVE,h4_ema_direction,BEARISH,7,8,0.875
APPROVE,h4_ema_direction,BULLISH,1,8,0.125
APPROVE,h4_dmi_direction,BEARISH,8,8,1.0
APPROVE,h4_dmi_aligned,True,8,8,1.0
APPROVE,h1_ema_direction,BEARISH,8,8,1.0
APPROVE,h1_dmi_direction,BEARISH,8,8,1.0
APPROVE,h1_dmi_aligned,True,8,8,1.0
REJECT,month,2026-04,9,73,0.1232876712328767
REJECT,month,2025-10,8,73,0.1095890410958904
REJECT,month,2026-01,8,73,0.1095890410958904
REJECT,month,2025-12,8,73,0.1095890410958904
REJECT,month,2026-07,8,73,0.1095890410958904
REJECT,month,2025-09,6,73,0.0821917808219178
REJECT,month,2026-03,6,73,0.0821917808219178
REJECT,month,2026-08,5,73,0.0684931506849315
REJECT,month,2026-05,5,73,0.0684931506849315
REJECT,month,2026-06,4,73,0.0547945205479452
REJECT,month,2025-11,3,73,0.0410958904109589
REJECT,month,2026-02,3,73,0.0410958904109589
REJECT,quarter,2025-Q4,19,73,0.2602739726027397
REJECT,quarter,2026-Q2,18,73,0.2465753424657534
REJECT,quarter,2026-Q1,17,73,0.2328767123287671
REJECT,quarter,2026-Q3,13,73,0.1780821917808219
REJECT,quarter,2025-Q3,6,73,0.0821917808219178
REJECT,hour_utc,5,7,73,0.0958904109589041
REJECT,hour_utc,22,6,73,0.0821917808219178
