dimension,group,reason_code,count,group_candidates,candidate_share
decision,APPROVE,DAILY_BEARISH_TREND,4,8,0.5
decision,APPROVE,4H_BEARISH_TREND,2,8,0.25
decision,APPROVE,1H_MINUS_DI_DOMINANT,1,8,0.125
decision,APPROVE,MULTI_TIMEFRAME_ADX_SUPPORT,1,8,0.125
decision,APPROVE,1H_BEARISH_DI_AND_EMA_ALIGNMENT,1,8,0.125
decision,APPROVE,4H_BEARISH_EMA_ALIGNMENT_AND_NEGATIVE_MOMENTUM,1,8,0.125
decision,APPROVE,1D_BEARISH_DI_AND_EMA_ALIGNMENT,1,8,0.125
decision,APPROVE,MULTI_TIMEFRAME_PRICE_BELOW_EMAS,1,8,0.125
decision,APPROVE,FOUR_HOUR_BEARISH_TREND,1,8,0.125
decision,APPROVE,ONE_HOUR_BEARISH_DI,1,8,0.125
decision,APPROVE,MULTI_TIMEFRAME_ADX_STRENGTH,1,8,0.125
decision,APPROVE,1D_BEARISH_EMA_ALIGNMENT,1,8,0.125
decision,APPROVE,1D_MINUS_DI_DOMINANT,1,8,0.125
decision,APPROVE,4H_MINUS_DI_DOMINANT,1,8,0.125
decision,APPROVE,1H_STRONG_BEARISH_TREND,1,8,0.125
decision,APPROVE,1H_BEARISH_EMA_ALIGNMENT,1,8,0.125
decision,APPROVE,MULTI_TIMEFRAME_BEARISH_TREND,1,8,0.125
decision,APPROVE,STRONG_ADX,1,8,0.125
decision,APPROVE,MINUS_DI_DOMINANT,1,8,0.125
decision,APPROVE,PRICE_BELOW_EMAS,1,8,0.125
decision,APPROVE,DAILY_BEARISH_TREND_CONFIRMED,1,8,0.125
decision,APPROVE,4H_BEARISH_TREND_CONFIRMED,1,8,0.125
decision,APPROVE,1H_BEARISH_CONFIRMATION,1,8,0.125
decision,APPROVE,MULTI_TIMEFRAME_DI_MINUS_DI_PLUS,1,8,0.125
decision,APPROVE,PRICE_BELOW_EMA_10_AND_EMA_55,1,8,0.125
decision,APPROVE,FOUR_HOUR_BEARISH_ALIGNMENT,1,8,0.125
decision,APPROVE,ONE_HOUR_BEARISH_EMA_ALIGNMENT,1,8,0.125
decision,APPROVE,DIRECTIONAL_INDICATORS_FAVOR_SHORT,1,8,0.125
decision,APPROVE,1H_PRICE_BELOW_EMAS,1,8,0.125
decision,APPROVE,DIRECTIONAL_DI_MINUS_ABOVE_PLUS_DI,1,8,0.125
decision,APPROVE,ADX_TREND_STRENGTH,1,8,0.125
decision,REJECT,MULTI_TIMEFRAME_CONFLICT,13,73,0.1780821917808219
decision,REJECT,WEAK_4H_TREND,5,73,0.0684931506849315
decision,REJECT,TIMEFRAME_CONFLICT,4,73,0.0547945205479452
decision,REJECT,NEGATIVE_MOMENTUM,4,73,0.0547945205479452
decision,REJECT,WEAK_1H_TREND,4,73,0.0547945205479452
decision,REJECT,LOW_1H_ADX,4,73,0.0547945205479452
decision,REJECT,WEAK_TREND_STRENGTH,3,73,0.0410958904109589
decision,REJECT,CONFIRMATION_1H_BULLISH_DI,3,73,0.0410958904109589
decision,REJECT,SETUP_4H_BULLISH_DI,3,73,0.0410958904109589
decision,REJECT,SHORT_COUNTERTREND,3,73,0.0410958904109589
decision,REJECT,WEAK_1H_ADX,3,73,0.0410958904109589
decision,REJECT,LOW_4H_ADX,3,73,0.0410958904109589
decision,REJECT,MULTI_TIMEFRAME_SIGNAL_CONFLICT,3,73,0.0410958904109589
decision,REJECT,CONFIRMATION_1H_BEARISH_TREND,3,73,0.0410958904109589
decision,REJECT,CONFIRMATION_1H_POSITIVE_SQZMOM,2,73,0.0273972602739726
decision,REJECT,CONFIRMATION_1H_NEGATIVE_MOMENTUM,2,73,0.0273972602739726
decision,REJECT,SETUP_4H_NEGATIVE_MOMENTUM,2,73,0.0273972602739726
decision,REJECT,BEARISH_4H_TREND,2,73,0.0273972602739726
decision,REJECT,LONG_COUNTERTREND,2,73,0.0273972602739726
decision,REJECT,POSITIVE_MOMENTUM,2,73,0.0273972602739726
decision,REJECT,CONFIRMATION_1H_BULLISH,2,73,0.0273972602739726
decision,REJECT,WEAK_1H_TREND_STRENGTH,2,73,0.0273972602739726
decision,REJECT,1H_BULLISH_DIRECTIONAL_ALIGNMENT,2,73,0.0273972602739726
decision,REJECT,4H_BULLISH_DIRECTIONAL_ALIGNMENT,2,73,0.0273972602739726
decision,REJECT,POSITIVE_MOMENTUM_1H_4H,2,73,0.0273972602739726
decision,REJECT,MIXED_MOMENTUM,2,73,0.0273972602739726
decision,REJECT,MULTI_TIMEFRAME_BULLISH_DIRECTIONAL_SIGNALS,2,73,0.0273972602739726
decision,REJECT,NEGATIVE_SQZMOM_1H,2,73,0.0273972602739726
decision,REJECT,SETUP_4H_BEARISH_TREND,2,73,0.0273972602739726
decision,REJECT,MULTI_TIMEFRAME_MOMENTUM_NEGATIVE,2,73,0.0273972602739726
decision,REJECT,HIGHER_TIMEFRAME_CONFLICT,2,73,0.0273972602739726
decision,REJECT,1H_SQZMOM_POSITIVE,2,73,0.0273972602739726
decision,REJECT,HIGHER_TIMEFRAME_BULLISH,2,73,0.0273972602739726
decision,REJECT,4H_BULLISH_DIRECTIONAL_STRENGTH,2,73,0.0273972602739726
decision,REJECT,COUNTERTREND_SHORT,2,73,0.0273972602739726
decision,REJECT,DAILY_TREND_WEAK,2,73,0.0273972602739726
decision,REJECT,NEGATIVE_1H_SQZMOM,2,73,0.0273972602739726
decision,REJECT,BULLISH_1H_DIRECTIONAL_STRENGTH,2,73,0.0273972602739726
decision,REJECT,BULLISH_4H_DIRECTIONAL_STRENGTH,2,73,0.0273972602739726
decision,REJECT,LOW_TIMEFRAME_BULLISH_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_MULTITIMEFRAME_SIGNALS,1,73,0.0136986301369863
decision,REJECT,BULLISH_1H_DIRECTIONAL_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,BULLISH_4H_DIRECTIONAL_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,SHORT_COUNTERTREND_CONFLICT,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_POSITIVE_SQZMOM,1,73,0.0136986301369863
decision,REJECT,DAILY_PLUS_DI_DOMINANT,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BEARISH_DIRECTIONAL,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_BEARISH_DIRECTIONAL,1,73,0.0136986301369863
decision,REJECT,BEARISH_1H_TREND,1,73,0.0136986301369863
decision,REJECT,BEARISH_1D_TREND,1,73,0.0136986301369863
decision,REJECT,BEARISH_DIRECTIONAL_INDICATORS,1,73,0.0136986301369863
decision,REJECT,HIGHER_TIMEFRAME_BULLISH_CONFIRMATION,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_EMA10_BELOW_EMA55,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_ADX_BELOW_20,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_SQZMOM_NEGATIVE,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_MINUS_DI_ABOVE_PLUS_DI,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_SQZMOM_NEGATIVE,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BEARISH_EMA_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_MINUS_DI_EXCEEDS_PLUS_DI,1,73,0.0136986301369863
decision,REJECT,NEGATIVE_SQZMOM_ON_1H_AND_4H,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_WEAK_DIRECTIONAL_CONFIRMATION,1,73,0.0136986301369863
decision,REJECT,HIGHER_TIMEFRAME_BEARISH_TREND,1,73,0.0136986301369863
decision,REJECT,4H_BEARISH_DIRECTIONAL_STRENGTH,1,73,0.0136986301369863
decision,REJECT,DAILY_BEARISH_DIRECTIONAL_STRENGTH,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_CLOSE_ABOVE_EMA55,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_MIXED_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,1H_BULLISH_TREND,1,73,0.0136986301369863
decision,REJECT,4H_BULLISH_TREND,1,73,0.0136986301369863
decision,REJECT,SHORT_COUNTERTREND_ON_CONFIRMATION_TIMEFRAME,1,73,0.0136986301369863
decision,REJECT,HIGHER_TIMEFRAME_BULLISH_DIRECTION,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_TIMEFRAME_SIGNALS,1,73,0.0136986301369863
decision,REJECT,1H_DIRECTIONAL_CONFLICT,1,73,0.0136986301369863
decision,REJECT,1H_POSITIVE_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_MULTI_TIMEFRAME_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,POSITIVE_4H_SQZMOMENTUM,1,73,0.0136986301369863
decision,REJECT,1H_EMA_BULLISH,1,73,0.0136986301369863
decision,REJECT,4H_DIRECTIONAL_BULLISH,1,73,0.0136986301369863
decision,REJECT,4H_ADX_WEAK,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_MOMENTUM_CONFLICTS_WITH_SHORT,1,73,0.0136986301369863
decision,REJECT,MULTI_TIMEFRAME_TREND_ALIGNMENT_AMBIGUOUS,1,73,0.0136986301369863
decision,REJECT,4H_BULLISH_DIRECTIONAL_SIGNAL,1,73,0.0136986301369863
decision,REJECT,1H_WEAK_TREND,1,73,0.0136986301369863
decision,REJECT,4H_BULLISH_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,LOWER_TIMEFRAME_BULLISH_DIRECTIONAL_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,DAILY_TREND_CONFLICT,1,73,0.0136986301369863
decision,REJECT,MIXED_1H_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,SHORT_DIRECTION_NOT_CONFIRMED,1,73,0.0136986301369863
decision,REJECT,BULLISH_DI_DOMINANCE_ON_1H_4H_AND_1D,1,73,0.0136986301369863
decision,REJECT,WEAK_TREND_STRENGTH_ON_4H_AND_1D,1,73,0.0136986301369863
decision,REJECT,MIXED_MOMENTUM_SIGNALS,1,73,0.0136986301369863
decision,REJECT,HIGHER_TIMEFRAME_UPWARD_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,DAILY_TREND_NOT_SUPPORTIVE_OF_SHORT,1,73,0.0136986301369863
decision,REJECT,DAILY_DIRECTIONAL_INDICATORS_FAVOR_UPSIDE,1,73,0.0136986301369863
decision,REJECT,1H_DIRECTIONAL_INDICATORS_NEAR_NEUTRAL,1,73,0.0136986301369863
decision,REJECT,4H_EMA_STRUCTURE_BULLISH,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_SHORT_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,MULTI_TIMEFRAME_BULLISH_DIRECTIONAL_CONFLICT,1,73,0.0136986301369863
decision,REJECT,PRICE_ABOVE_SHORT_TERM_EMAS,1,73,0.0136986301369863
decision,REJECT,PLUS_DI_EXCEEDS_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,POSITIVE_SQZMOMENTUM,1,73,0.0136986301369863
decision,REJECT,WEAK_ADX_ON_1H_AND_4H,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BEARISH_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,NEGATIVE_SQZMOM_4H,1,73,0.0136986301369863
decision,REJECT,LONG_CONFLICTS_WITH_LOWER_TIMEFRAME_DIRECTION,1,73,0.0136986301369863
decision,REJECT,HIGHER_TIMEFRAME_BEARISH,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_MINUS_DI_DOMINANT,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_NEGATIVE_SQZMOM,1,73,0.0136986301369863
decision,REJECT,TREND_1D_MINUS_DI_DOMINANT,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_NEGATIVE_SQZMOM,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_1H_CONFIRMATION,1,73,0.0136986301369863
decision,REJECT,1H_DIRECTIONAL_CONFIRMATION_INSUFFICIENT,1,73,0.0136986301369863
decision,REJECT,SHORT_TERM_DIRECTIONAL_CONFLICT,1,73,0.0136986301369863
decision,REJECT,1H_DI_NEUTRAL,1,73,0.0136986301369863
decision,REJECT,1H_PLUS_DI_EXCEEDS_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,4H_PLUS_DI_EXCEEDS_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,POSITIVE_1H_SQZMOM,1,73,0.0136986301369863
decision,REJECT,POSITIVE_4H_SQZMOM,1,73,0.0136986301369863
decision,REJECT,1H_PLUS_DI_ABOVE_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,4H_PLUS_DI_ABOVE_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,4H_SQZMOM_POSITIVE,1,73,0.0136986301369863
decision,REJECT,DAILY_DI_NEUTRAL,1,73,0.0136986301369863
decision,REJECT,MULTI_TIMEFRAME_BULLISH_DI,1,73,0.0136986301369863
decision,REJECT,PRICE_ABOVE_EMAS,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_SHORT_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,WEAK_1H_DIRECTIONAL_EDGE,1,73,0.0136986301369863
decision,REJECT,1H_DIRECTION_CONFLICT,1,73,0.0136986301369863
decision,REJECT,1H_MOMENTUM_CONFLICT,1,73,0.0136986301369863
decision,REJECT,1H_BULLISH_TREND_CONFLICT,1,73,0.0136986301369863
decision,REJECT,1H_PLUS_DI_DOMINANCE,1,73,0.0136986301369863
decision,REJECT,4H_UPWARD_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_CONFIRMATION,1,73,0.0136986301369863
decision,REJECT,WEAK_1H_TREND_ADX,1,73,0.0136986301369863
decision,REJECT,PRICE_ABOVE_SHORT_TERM_AND_MEDIUM_TERM_EMAS,1,73,0.0136986301369863
decision,REJECT,1H_BULLISH_DIRECTIONAL_BIAS,1,73,0.0136986301369863
decision,REJECT,DAILY_PLUS_DI_EXCEEDS_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,HTF_BULLISH_TREND,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_BULLISH_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_DIRECTION_AMBIGUOUS,1,73,0.0136986301369863
decision,REJECT,WEAK_ADX_1H,1,73,0.0136986301369863
decision,REJECT,WEAK_ADX_4H,1,73,0.0136986301369863
decision,REJECT,WEAK_ADX_1D,1,73,0.0136986301369863
decision,REJECT,BEARISH_1H_EMA_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,NEGATIVE_4H_SQZMOM,1,73,0.0136986301369863
decision,REJECT,LOWER_TIMEFRAME_BEARISH_DIRECTION,1,73,0.0136986301369863
decision,REJECT,PRICE_BELOW_EMAS,1,73,0.0136986301369863
decision,REJECT,DI_MINUS_EXCEEDS_DI_PLUS,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_1H_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,BEARISH_1H_CONFIRMATION_CANDLE,1,73,0.0136986301369863
decision,REJECT,1H_BEARISH_TREND,1,73,0.0136986301369863
decision,REJECT,4H_BEARISH_TREND,1,73,0.0136986301369863
decision,REJECT,DAILY_DI_BEARISH,1,73,0.0136986301369863
decision,REJECT,4H_EMA_TREND_BEARISH,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BULLISH_DIRECTIONAL_STRENGTH,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_PLUS_DI_EXCEEDS_MINUS_DI,1,73,0.0136986301369863
decision,REJECT,MULTI_TIMEFRAME_DIRECTIONAL_CONFLICT,1,73,0.0136986301369863
decision,REJECT,LOWER_TIMEFRAME_BULLISH_DIRECTIONAL_SIGNALS,1,73,0.0136986301369863
decision,REJECT,AMBIGUOUS_ALIGNMENT,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BULLISH_DIRECTIONAL_BIAS,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_DIRECTIONAL_SIGNALS_MIXED,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_CLOSE_ABOVE_EMAS,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_CLOSE_ABOVE_EMAS,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_TREND_SIGNALS,1,73,0.0136986301369863
decision,REJECT,BULLISH_4H_MOMENTUM,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_BULLISH_CONTRADICTION,1,73,0.0136986301369863
decision,REJECT,SETUP_4H_WEAK_TREND,1,73,0.0136986301369863
decision,REJECT,LOWER_TIMEFRAME_DIRECTIONAL_CONFLICT,1,73,0.0136986301369863
decision,REJECT,MIXED_MULTITIMEFRAME_SIGNALS,1,73,0.0136986301369863
decision,REJECT,1H_BULLISH_DIRECTIONAL_STRENGTH,1,73,0.0136986301369863
decision,REJECT,PRICE_ABOVE_SHORT_AND_LONG_EMAS_ON_1H_4H,1,73,0.0136986301369863
decision,REJECT,POSITIVE_SQZMOM_ON_1H_4H,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_TIMEFRAMES,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_MOMENTUM_POSITIVE,1,73,0.0136986301369863
decision,REJECT,CONFIRMATION_1H_PRICE_ABOVE_EMA10,1,73,0.0136986301369863
decision,REJECT,CONFLICTING_1H_SQZMOM,1,73,0.0136986301369863
decision,REJECT,4H_BULLISH_DIRECTIONAL_BIAS,1,73,0.0136986301369863
decision,REJECT,1H_DIRECTIONAL_SIGNALS_MIXED,1,73,0.0136986301369863
decision,REJECT,DAILY_ADX_WEAK,1,73,0.0136986301369863
decision,REJECT,TIMEFRAME_MOMENTUM_MIXED,1,73,0.0136986301369863
decision,REJECT,4H_TREND_STRENGTH_WEAK,1,73,0.0136986301369863
decision,REJECT,PRICE_ABOVE_SHORT_AND_LONG_EMAS,1,73,0.0136986301369863
side,LONG,NEGATIVE_MOMENTUM,4,18,0.2222222222222222
side,LONG,MULTI_TIMEFRAME_CONFLICT,3,18,0.16666666666666666
side,LONG,CONFIRMATION_1H_BEARISH_TREND,3,18,0.16666666666666666
side,LONG,CONFIRMATION_1H_NEGATIVE_MOMENTUM,2,18,0.1111111111111111
side,LONG,SETUP_4H_NEGATIVE_MOMENTUM,2,18,0.1111111111111111
side,LONG,BEARISH_4H_TREND,2,18,0.1111111111111111
side,LONG,LONG_COUNTERTREND,2,18,0.1111111111111111
side,LONG,NEGATIVE_SQZMOM_1H,2,18,0.1111111111111111
side,LONG,SETUP_4H_BEARISH_TREND,2,18,0.1111111111111111
side,LONG,MULTI_TIMEFRAME_MOMENTUM_NEGATIVE,2,18,0.1111111111111111
side,LONG,NEGATIVE_1H_SQZMOM,2,18,0.1111111111111111
side,LONG,CONFIRMATION_1H_BEARISH_DIRECTIONAL,1,18,0.05555555555555555
side,LONG,SETUP_4H_BEARISH_DIRECTIONAL,1,18,0.05555555555555555
